grade,track,subject,book,chapter,topic,subtopic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,explanation,source,source_type,source_year
چهارم,,ریاضی,ریاضی,بخش 1,عددهای صحیح و گویا,,متوسط,حاصل  -3+8  کدام است؟,3,5,-5,11,B,-3+8=5.,ترنم همدلی,original,1405
چهارم,,ریاضی,ریاضی,بخش 2,جبر و عبارت‌ها,,متوسط,اگر x=4 باشد، مقدار 3x-2 چیست؟,8,10,12,14,B,3×4-2=10.,ترنم همدلی,original,1405
چهارم,,ریاضی,ریاضی,بخش 3,توان و ریشه,,متوسط,کدام گزینه برابر 2^5 است؟,10,16,32,64,C,2^5=32.,ترنم همدلی,original,1405
چهارم,,ریاضی,ریاضی,بخش 4,هندسه,,متوسط,مجموع زاویه‌های داخلی مثلث چند درجه است؟,90,180,270,360,B,مجموع زاویه‌های داخلی مثلث 180 درجه است.,ترنم همدلی,original,1405
چهارم,,ریاضی,ریاضی,بخش 5,تناسب و درصد,,متوسط,25 درصد عدد 80 چند است؟,10,15,20,25,C,80×0.25=20.,ترنم همدلی,original,1405
چهارم,,ریاضی,ریاضی,بخش 6,احتمال و آمار,,متوسط,میانگین 4، 6 و 8 چند است؟,5,6,7,8,B,(4+6+8)÷3=6.,ترنم همدلی,original,1405
چهارم,,علوم,علوم,بخش 1,اندازه‌گیری,,متوسط,واحد SI طول کدام است؟,سانتی‌متر,متر,کیلومتر,میلی‌متر,B,واحد پایه طول در SI متر است.,ترنم همدلی,original,1405
چهارم,,علوم,علوم,بخش 2,ماده و تغییرات,,متوسط,کدام مورد تغییر فیزیکی است؟,سوختن چوب,زنگ‌زدن آهن,ذوب شدن یخ,پختن غذا,C,در ذوب شدن یخ ماده جدیدی تشکیل نمی‌شود.,ترنم همدلی,original,1405
چهارم,,علوم,علوم,بخش 3,انرژی,,متوسط,کدام منبع تجدیدپذیر است؟,نفت,زغال‌سنگ,باد,گاز طبیعی,C,باد منبع انرژی تجدیدپذیر است.,ترنم همدلی,original,1405
چهارم,,علوم,علوم,بخش 4,زیست و بدن,,متوسط,واحد بنیادی حیات چیست؟,بافت,سلول,اندام,دستگاه,B,سلول واحد بنیادی حیات است.,ترنم همدلی,original,1405
چهارم,,علوم,علوم,بخش 5,نیرو و حرکت,,متوسط,واحد نیرو در SI چیست؟,ژول,وات,نیوتن,پاسکال,C,واحد نیرو نیوتن است.,ترنم همدلی,original,1405
چهارم,,علوم,علوم,بخش 6,زمین و فضا,,متوسط,کدام لایه زمین ضخیم‌تر از پوسته است؟,هسته,گوشته,جو,آب‌کره,B,گوشته زیر پوسته قرار دارد و بسیار ضخیم‌تر است.,ترنم همدلی,original,1405
چهارم,,فارسی,فارسی,بخش 1,واژگان,,متوسط,کدام واژه با «کوشش» هم‌معنی است؟,تلاش,آرامش,دانش,آرایش,A,تلاش با کوشش هم‌معناست.,ترنم همدلی,original,1405
چهارم,,فارسی,فارسی,بخش 2,دستور زبان,,متوسط,در جمله «دانش‌آموز کتاب را خواند»، مفعول کدام است؟,دانش‌آموز,کتاب,خواند,را,B,کتاب مفعول است و «را» نشانه مفعول است.,ترنم همدلی,original,1405
چهارم,,فارسی,فارسی,بخش 3,آرایه ادبی,,متوسط,در «لبش چون لعل بود» کدام آرایه برجسته است؟,تشبیه,تضاد,جناس,کنایه,A,لب به لعل تشبیه شده است.,ترنم همدلی,original,1405
چهارم,,فارسی,فارسی,بخش 4,املاء,,متوسط,کدام گزینه درست نوشته شده است؟,مسئول,مسول,مسئولل,مسعول,A,املای درست «مسئول» است.,ترنم همدلی,original,1405
چهارم,,فارسی,فارسی,بخش 5,معنی و مفهوم,,متوسط,مفهوم «از تو حرکت، از خدا برکت» چیست؟,بی‌تلاشی,ضرورت تلاش,ترس از آینده,بی‌نظمی,B,ضرب‌المثل بر نقش تلاش انسان تأکید دارد.,ترنم همدلی,original,1405
چهارم,,فارسی,فارسی,بخش 6,نگارش,,متوسط,کدام مورد برای یک بند منسجم ضروری‌تر است؟,بی‌ربطی جمله‌ها,وحدت موضوع,تکرار واژه‌ها,حذف جمله اصلی,B,وحدت موضوع انسجام بند را بیشتر می‌کند.,ترنم همدلی,original,1405
چهارم,,عربی,عربی,بخش 1,ترجمه,,متوسط,معنی «هؤلاء الطلاب» چیست؟,آن دانش‌آموزان,این دانش‌آموزان,این معلم,آن معلمان,B,هؤلاء برای اشاره نزدیک جمع است.,ترنم همدلی,original,1405
چهارم,,عربی,عربی,بخش 2,اسم اشاره,,متوسط,کدام گزینه برای مفرد مذکر نزدیک درست است؟,هذه,هؤلاء,هذا,ذلک,C,هذا برای مفرد مذکر نزدیک است.,ترنم همدلی,original,1405
چهارم,,عربی,عربی,بخش 3,فعل ماضی,,متوسط,معنی «کَتَبَ» چیست؟,می‌نویسد,نوشت,خواهد نوشت,بخوان,B,کَتَبَ فعل ماضی به معنی نوشت است.,ترنم همدلی,original,1405
چهارم,,عربی,عربی,بخش 4,مفرد و جمع,,متوسط,جمع «کتاب» در عربی کدام است؟,کتابات,کتب,کاتبون,مکتب,B,جمع مکسر کتاب، کتب است.,ترنم همدلی,original,1405
چهارم,,عربی,عربی,بخش 5,ضمیر,,متوسط,«هُوَ» به چه معناست؟,او مذکر,او مؤنث,آن دو,آنان,A,هو ضمیر مفرد مذکر است.,ترنم همدلی,original,1405
چهارم,,عربی,عربی,بخش 6,صفت و موصوف,,متوسط,در «الطالبُ المجتهدُ» کدام واژه صفت است؟,الطالب,المجتهد,ال,هیچ‌کدام,B,المجتهد صفت الطالب است.,ترنم همدلی,original,1405
چهارم,,انگلیسی,انگلیسی,بخش 1,واژگان,,متوسط,"meaning of ""book"" چیست؟",مدرسه,کتاب,دفتر,مداد,B,book یعنی کتاب.,ترنم همدلی,original,1405
چهارم,,انگلیسی,انگلیسی,بخش 2,افعال be,,متوسط,کدام جمله درست است؟,He are a student.,He is a student.,He am a student.,He be a student.,B,برای he از is استفاده می‌شود.,ترنم همدلی,original,1405
چهارم,,انگلیسی,انگلیسی,بخش 3,گذشته ساده,,متوسط,گذشته فعل go کدام است؟,goed,gone,went,going,C,گذشته ساده go، went است.,ترنم همدلی,original,1405
چهارم,,انگلیسی,انگلیسی,بخش 4,متضادها,,متوسط,opposite of expensive چیست؟,cheap,large,strong,early,A,cheap متضاد expensive است.,ترنم همدلی,original,1405
چهارم,,انگلیسی,انگلیسی,بخش 5,ضمیرها,,متوسط,کدام ضمیر برای «مریم و من» مناسب است؟,he,she,we,it,C,برای مریم و من از we استفاده می‌شود.,ترنم همدلی,original,1405
چهارم,,انگلیسی,انگلیسی,بخش 6,حال ساده,,متوسط,کدام جمله درست است؟,She play tennis.,She plays tennis.,She playing tennis.,She played tennis every day.,B,در سوم‌شخص مفرد فعل حال ساده معمولاً s می‌گیرد.,ترنم همدلی,original,1405
چهارم,,مطالعات اجتماعی,مطالعات اجتماعی,بخش 1,جغرافیا,,متوسط,کدام مورد از عناصر آب‌وهواست؟,دما,تعداد مدرسه,تعداد خودرو,نوع زبان,A,دما از عناصر آب‌وهواست.,ترنم همدلی,original,1405
چهارم,,مطالعات اجتماعی,مطالعات اجتماعی,بخش 2,تاریخ,,متوسط,منبع دست‌اول تاریخی کدام است؟,خاطرات شاهد رویداد,کتاب درسی جدید,خلاصه اینترنتی,نظر دانش‌آموز,A,خاطرات شاهد مستقیم منبع دست‌اول محسوب می‌شود.,ترنم همدلی,original,1405
چهارم,,مطالعات اجتماعی,مطالعات اجتماعی,بخش 3,مدنی,,متوسط,کدام مورد نمونه مسئولیت شهروندی است؟,رعایت قانون,بی‌توجهی به حقوق دیگران,تخریب اموال عمومی,فرار از مسئولیت,A,رعایت قانون از مسئولیت‌های شهروندی است.,ترنم همدلی,original,1405
چهارم,,مطالعات اجتماعی,مطالعات اجتماعی,بخش 4,نقشه,,متوسط,مقیاس نقشه چه چیزی را نشان می‌دهد؟,رابطه فاصله روی نقشه و واقعیت,جهت شمال,ارتفاع کوه,جمعیت شهر,A,مقیاس رابطه فاصله نقشه با فاصله واقعی را نشان می‌دهد.,ترنم همدلی,original,1405
چهارم,,مطالعات اجتماعی,مطالعات اجتماعی,بخش 5,اقتصاد خانواده,,متوسط,پس‌انداز چه فایده‌ای دارد؟,افزایش هزینه‌های غیرضروری,آمادگی برای نیازهای آینده,حذف بودجه,افزایش بدهی,B,پس‌انداز برای نیازهای آینده مفید است.,ترنم همدلی,original,1405
چهارم,,مطالعات اجتماعی,مطالعات اجتماعی,بخش 6,جامعه,,متوسط,قانون چه نقشی در جامعه دارد؟,ایجاد نظم,افزایش بی‌نظمی,حذف مسئولیت,کاهش همکاری,A,قانون به ایجاد نظم و تنظیم روابط کمک می‌کند.,ترنم همدلی,original,1405
چهارم,,پیام‌های آسمان,پیام‌های آسمان,بخش 1,توحید,,متوسط,توحید به چه معناست؟,یگانگی خداوند,تعدد خدایان,انکار خدا,پرستش انسان,A,توحید یعنی یگانگی خداوند.,ترنم همدلی,original,1405
چهارم,,پیام‌های آسمان,پیام‌های آسمان,بخش 2,نبوت,,متوسط,پیامبران برای چه هدفی فرستاده شدند؟,هدایت انسان,افزایش ثروت,رقابت سیاسی,حذف اختیار,A,هدف اصلی رسالت، هدایت انسان‌هاست.,ترنم همدلی,original,1405
چهارم,,پیام‌های آسمان,پیام‌های آسمان,بخش 3,معاد,,متوسط,معاد به چه معناست؟,بازگشت و زندگی پس از مرگ,تولد دوباره زمین,تغییر فصل,سفر زمینی,A,معاد به زندگی پس از مرگ اشاره دارد.,ترنم همدلی,original,1405
چهارم,,پیام‌های آسمان,پیام‌های آسمان,بخش 4,اخلاق,,متوسط,کدام رفتار نمونه امانت‌داری است؟,حفظ مال سپرده‌شده,پنهان کردن خیانت,تخریب مال دیگران,دروغ‌گویی,A,حفظ امانت نشانه امانت‌داری است.,ترنم همدلی,original,1405
چهارم,,پیام‌های آسمان,پیام‌های آسمان,بخش 5,نماز,,متوسط,نماز در آموزه‌های اسلامی چه جایگاهی دارد؟,عبادت مهم,فعالیت اقتصادی,تفریح,درس مدرسه,A,نماز از عبادت‌های مهم اسلامی است.,ترنم همدلی,original,1405
چهارم,,پیام‌های آسمان,پیام‌های آسمان,بخش 6,مسئولیت,,متوسط,امر به معروف با چه هدفی انجام می‌شود؟,تقویت رفتار درست,تحقیر دیگران,ایجاد دشمنی,بی‌قانونی,A,هدف آن دعوت به کار نیک و اصلاح است.,ترنم همدلی,original,1405
چهارم,,قرآن,قرآن,بخش 1,تلاوت,,متوسط,تلاوت قرآن یعنی چه؟,خواندن قرآن,نوشتن تاریخ,محاسبه,نقاشی,A,تلاوت یعنی خواندن قرآن.,ترنم همدلی,original,1405
چهارم,,قرآن,قرآن,بخش 2,تدبر,,متوسط,تدبر در قرآن چه معنایی دارد؟,اندیشیدن در مفاهیم آیات,حفظ بدون فهم,ترجمه ماشینی,بی‌توجهی,A,تدبر به اندیشیدن و تأمل در آیات اشاره دارد.,ترنم همدلی,original,1405
چهارم,,قرآن,قرآن,بخش 3,اخلاق قرآنی,,متوسط,کدام رفتار با آموزه‌های قرآنی سازگارتر است؟,راستگویی,دروغ,ظلم,خیانت,A,راستگویی از فضایل اخلاقی است.,ترنم همدلی,original,1405
