grade,track,subject,book,chapter,topic,subtopic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,explanation,source,source_type,source_year
ششم,,ریاضی,ریاضی,فصل ۱,عدد و الگو,,متوسط,اگر 3/4 یک عدد برابر 18 باشد، آن عدد چند است؟,18,24,27,36,B,عدد برابر 18×4÷3=24 است.,ترنم همدلی,original,1405
ششم,,ریاضی,ریاضی,فصل ۱,کسر,,متوسط,حاصل 2/3 + 1/6 کدام است؟,1/2,2/3,5/6,1,C,2/3 برابر 4/6 است؛ پس 5/6.,ترنم همدلی,original,1405
ششم,,ریاضی,ریاضی,فصل ۱,هندسه,,متوسط,مجموع زاویه‌های داخلی مثلث چند درجه است؟,90,180,270,360,B,مجموع زاویه‌های داخلی هر مثلث 180 درجه است.,ترنم همدلی,original,1405
ششم,,علوم,علوم,فصل ۱,مواد,,متوسط,کدام تغییر، تغییر فیزیکی است؟,سوختن کاغذ,زنگ زدن آهن,ذوب شدن یخ,پختن تخم‌مرغ,C,در ذوب شدن، ماهیت ماده تغییر نمی‌کند.,ترنم همدلی,original,1405
ششم,,علوم,علوم,فصل ۱,انرژی,,متوسط,کدام مورد منبع انرژی تجدیدپذیر است؟,زغال‌سنگ,نفت,باد,گاز طبیعی,C,باد منبع تجدیدپذیر است.,ترنم همدلی,original,1405
ششم,,علوم,علوم,فصل ۱,بدن انسان,,متوسط,بیشترین جذب مواد غذایی در کدام بخش دستگاه گوارش انجام می‌شود؟,معده,روده باریک,روده بزرگ,مری,B,روده باریک محل اصلی جذب مواد غذایی است.,ترنم همدلی,original,1405
ششم,,فارسی,فارسی,فصل ۱,واژگان,,متوسط,کدام واژه از نظر معنا به «کوشش» نزدیک‌تر است؟,تلاش,آرامش,دانش,آرایش,A,تلاش و کوشش هم‌معنا هستند.,ترنم همدلی,original,1405
ششم,,فارسی,فارسی,فصل ۱,دستور,,متوسط,در جمله «دانش‌آموز کتاب را خواند»، مفعول کدام است؟,دانش‌آموز,کتاب,خواند,را,B,«کتاب» مفعول و «را» نشانه مفعول است.,ترنم همدلی,original,1405
ششم,,مطالعات اجتماعی,مطالعات اجتماعی,فصل ۱,جغرافیا,,متوسط,کدام عامل مستقیماً در شکل‌گیری آب‌وهوا نقش دارد؟,رنگ خاک,دما و رطوبت,تعداد شهرها,نوع خط,B,دما و رطوبت از عناصر مهم آب‌وهوا هستند.,ترنم همدلی,original,1405
ششم,,مطالعات اجتماعی,مطالعات اجتماعی,فصل ۱,مدنی,,متوسط,یکی از مهم‌ترین وظایف شهروند چیست؟,بی‌توجهی به قانون,رعایت قانون و حقوق دیگران,اجتناب از مشارکت,نادیده گرفتن مسئولیت‌ها,B,شهروند مسئول قانون و حقوق دیگران را رعایت می‌کند.,ترنم همدلی,original,1405
ششم,,انگلیسی,انگلیسی,فصل ۱,واژگان,,متوسط,کدام گزینه معنی book است؟,مدرسه,کتاب,دفتر,مداد,B,book یعنی کتاب.,ترنم همدلی,original,1405
ششم,,انگلیسی,انگلیسی,فصل ۱,گرامر,,متوسط,کدام جمله درست است؟,He are a student.,He is a student.,He am a student.,He be a student.,B,برای he از is استفاده می‌شود.,ترنم همدلی,original,1405
نهم,,ریاضی,ریاضی,فصل ۱,عبارت‌های جبری,,متوسط,اگر x=3 باشد، مقدار 2x+5 چند است؟,8,10,11,12,C,2×3+5=11.,ترنم همدلی,original,1405
نهم,,ریاضی,ریاضی,فصل ۱,توان و ریشه,,متوسط,کدام گزینه برابر 3²×3 است؟,9,18,27,81,C,3²×3=9×3=27.,ترنم همدلی,original,1405
نهم,,ریاضی,ریاضی,فصل ۱,معادله,,متوسط,حل معادله 2x-4=10 کدام است؟,5,6,7,8,C,2x=14 و x=7.,ترنم همدلی,original,1405
نهم,,علوم,علوم,فصل ۱,فیزیک,,متوسط,واحد SI نیرو چیست؟,ژول,وات,نیوتن,پاسکال,C,واحد نیرو نیوتن است.,ترنم همدلی,original,1405
نهم,,علوم,علوم,فصل ۱,شیمی,,متوسط,کدام مورد یک عنصر است؟,آب,اکسیژن,نمک خوراکی,دی‌اکسیدکربن,B,اکسیژن عنصر است.,ترنم همدلی,original,1405
نهم,,علوم,علوم,فصل ۱,زیست,,متوسط,کدام ساختار واحد بنیادی حیات است؟,بافت,اندام,سلول,دستگاه,C,سلول واحد بنیادی حیات است.,ترنم همدلی,original,1405
نهم,,فارسی,فارسی,فصل ۱,آرایه,,متوسط,در «لبش چون لعل بود» کدام آرایه برجسته‌تر است؟,تشبیه,تضاد,جناس,کنایه,A,لب به لعل تشبیه شده است.,ترنم همدلی,original,1405
نهم,,فارسی,فارسی,فصل ۱,دستور,,متوسط,در «علی با دوستش آمد»، «با دوستش» چه نقشی دارد؟,نهاد,متمم,مفعول,مسند,B,حرف اضافه «با» و گروه پس از آن متمم است.,ترنم همدلی,original,1405
نهم,,عربی,عربی,فصل ۱,ترجمه,,متوسط,معنی «هؤلاء الطلاب» چیست؟,آن دانش‌آموزان,این دانش‌آموزان,این معلم,آن معلمان,B,هؤلاء برای اشاره نزدیک جمع به کار می‌رود.,ترنم همدلی,original,1405
نهم,,مطالعات اجتماعی,مطالعات اجتماعی,فصل ۱,تاریخ,,متوسط,قانون اساسی چه جایگاهی در نظام حقوقی کشور دارد؟,قانون عادی,سند بنیادین نظام حقوقی,آیین‌نامه مدرسه,قانون محلی,B,قانون اساسی سند بنیادین نظام حقوقی است.,ترنم همدلی,original,1405
نهم,,انگلیسی,انگلیسی,فصل ۱,گرامر,,متوسط,گذشته فعل go کدام است؟,goed,gone,went,going,C,گذشته ساده go، went است.,ترنم همدلی,original,1405
نهم,,انگلیسی,انگلیسی,فصل ۱,واژگان,,متوسط,opposite of expensive چیست؟,cheap,large,strong,early,A,cheap یعنی ارزان و متضاد expensive است.,ترنم همدلی,original,1405
دهم,تجربی,زیست‌شناسی,زیست‌شناسی ۱,فصل ۱,یاخته,,متوسط,کدام ساختار در سلول‌های یوکاریوتی محل اصلی تولید ATP است؟,هسته,میتوکندری,ریبوزوم,دستگاه گلژی,B,میتوکندری محل اصلی تولید ATP در تنفس یاخته‌ای است.,ترنم همدلی,original,1405
دهم,تجربی,زیست‌شناسی,زیست‌شناسی ۱,فصل ۱,بافت‌ها,,متوسط,بافت پوششی عمدتاً چه نقشی دارد؟,انتقال پیام عصبی,پوشش و حفاظت سطوح,انقباض,ذخیره اطلاعات ژنتیکی,B,بافت پوششی سطوح بدن را می‌پوشاند و حفاظت می‌کند.,ترنم همدلی,original,1405
دهم,تجربی,زیست‌شناسی,زیست‌شناسی ۱,فصل ۱,گوارش,,متوسط,آنزیم‌های گوارشی عمدتاً چه کاری انجام می‌دهند؟,افزایش دمای بدن,تسریع تجزیه مواد غذایی,تولید DNA,انتقال اکسیژن,B,آنزیم‌ها واکنش‌های تجزیه مواد غذایی را تسریع می‌کنند.,ترنم همدلی,original,1405
دهم,تجربی,شیمی,شیمی ۱,فصل ۱,ساختار اتم,,متوسط,عدد اتمی یک عنصر بیانگر تعداد کدام ذرات در هسته اتم خنثی است؟,نوترون‌ها,الکترون‌ها,پروتون‌ها,همه ذرات,C,عدد اتمی برابر تعداد پروتون‌هاست.,ترنم همدلی,original,1405
دهم,تجربی,شیمی,شیمی ۱,فصل ۱,مول,,متوسط,در یک مول از هر ماده تقریباً چند ذره وجود دارد؟,6.02×10^23,9.8×10^2,3×10^8,1.6×10^-19,A,عدد آووگادرو حدود 6.02×10^23 است.,ترنم همدلی,original,1405
دهم,تجربی,شیمی,شیمی ۱,فصل ۱,پیوند,,متوسط,پیوند یونی معمولاً بر اثر چه چیزی شکل می‌گیرد؟,اشتراک کامل هسته‌ها,انتقال الکترون و جاذبه یون‌ها,حذف پروتون‌ها,ترکیب نوترون‌ها,B,در پیوند یونی انتقال الکترون و جاذبه الکترواستاتیکی یون‌ها مهم است.,ترنم همدلی,original,1405
دهم,تجربی,فیزیک,فیزیک ۱,فصل ۱,حرکت,,متوسط,اگر جسمی در 4 ثانیه 20 متر جابه‌جا شود، سرعت متوسط آن چند متر بر ثانیه است؟,4,5,8,16,B,سرعت متوسط = 20÷4=5 m/s.,ترنم همدلی,original,1405
دهم,تجربی,فیزیک,فیزیک ۱,فصل ۱,نیرو,,متوسط,اگر نیروی خالص وارد بر جسم صفر باشد، کدام حالت ممکن است؟,حتماً شتاب مثبت دارد,حتماً متوقف است,می‌تواند با سرعت ثابت حرکت کند,حتماً سرعتش صفر است,C,نیروی خالص صفر یعنی شتاب صفر؛ جسم می‌تواند سرعت ثابت داشته باشد.,ترنم همدلی,original,1405
دهم,تجربی,ریاضی,ریاضی ۱,فصل ۱,تابع,,متوسط,اگر f(x)=2x+1 باشد، f(3) چند است؟,5,6,7,8,C,2×3+1=7.,ترنم همدلی,original,1405
دهم,تجربی,ریاضی,ریاضی ۱,فصل ۱,معادله,,متوسط,ریشه مثبت معادله x²=49 چیست؟,-7,0,7,49,C,ریشه مثبت 49 برابر 7 است.,ترنم همدلی,original,1405
یازدهم,تجربی,زیست‌شناسی,زیست‌شناسی ۲,فصل ۱,تنفس,,متوسط,محل اصلی تبادل گازها در شش کدام است؟,نای,نایژه,کیسه‌های هوایی,حنجره,C,تبادل گاز در سطح کیسه‌های هوایی انجام می‌شود.,ترنم همدلی,original,1405
